file_name,original_tags,expanded_query,rank,predicted_competency,combined_score,skill_name_score,full_text_score
Decision Trees Revised.pptx,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting; machine learning; data analytics; artificial intelligence,1,"Artificial intelligence, machine learning and deep learning application",0.8485140204429626,0.8595671653747559,0.8319342136383057
Decision Trees Revised.pptx,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting; machine learning; data analytics; artificial intelligence,2,Machine Learning (ML),0.842084527015686,0.8473951816558838,0.8341184854507446
Decision Trees Revised.pptx,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting; machine learning; data analytics; artificial intelligence,3,Data processing,0.8384920358657837,0.8454057574272156,0.828121542930603
Decision Trees Revised.pptx,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting; machine learning; data analytics; artificial intelligence,4,Data analytics,0.8337850570678711,0.8467601537704468,0.8143223524093628
Decision Trees Revised.pptx,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting,decision tree classification;numeric and categorical splits;root and leaf nodes;Gini impurity;entropy and information gain;max_depth and split controls;pruning;overfitting and underfitting; machine learning; data analytics; artificial intelligence,5,Knowledge of big data tools and platforms,0.8266149759292603,0.8275185823440552,0.8252595663070679
HandsOn1_Window_Functions.md,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping; database; database management; data processing,1,Data processing,0.8296700119972229,0.8562886714935303,0.7897419929504395
HandsOn1_Window_Functions.md,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping; database; database management; data processing,2,Database management and configuration,0.815159261226654,0.8400310277938843,0.7778514623641968
HandsOn1_Window_Functions.md,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping; database; database management; data processing,3,Data preparation,0.8144581317901611,0.836752712726593,0.7810162901878357
HandsOn1_Window_Functions.md,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping; database; database management; data processing,4,Data warehousing,0.8134105205535889,0.8399050831794739,0.7736685276031494
HandsOn1_Window_Functions.md,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping,OVER and window specifications;PARTITION BY;ORDER BY cumulative sums;ROWS moving windows;ROW_NUMBER and RANK;DENSE_RANK and LEAD/LAG;NTILE quartiles;window functions with subqueries and grouping; database; database management; data processing,5,Data design,0.8130964040756226,0.8341118097305298,0.7815732359886169
Introduction to Pandas_.pptx,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex; data processing; data preparation; data analytics,1,Data processing,0.8249872922897339,0.842473030090332,0.7987585067749023
Introduction to Pandas_.pptx,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex; data processing; data preparation; data analytics,2,Data analytics,0.8248767256736755,0.8407465815544128,0.80107182264328
Introduction to Pandas_.pptx,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex; data processing; data preparation; data analytics,3,Data preparation,0.8240945935249329,0.8401350975036621,0.8000338077545166
Introduction to Pandas_.pptx,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex; data processing; data preparation; data analytics,4,Data warehousing,0.8135983347892761,0.8321435451507568,0.7857804298400879
Introduction to Pandas_.pptx,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex,Pandas Series;Pandas DataFrame;Series index and values;custom index labels;loc versus iloc;index immutability;duplicate index labels;set_index and MultiIndex; data processing; data preparation; data analytics,5,Data management,0.8129702210426331,0.8285583257675171,0.7895879745483398
Lecture - Decision Trees.ipynb,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance; machine learning; data analytics; artificial intelligence,1,"Artificial intelligence, machine learning and deep learning application",0.8287932872772217,0.8420791625976562,0.8088644742965698
Lecture - Decision Trees.ipynb,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance; machine learning; data analytics; artificial intelligence,2,Machine Learning (ML),0.8273321390151978,0.8411916494369507,0.8065428733825684
Lecture - Decision Trees.ipynb,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance; machine learning; data analytics; artificial intelligence,3,Data processing,0.8197885155677795,0.8314690589904785,0.8022676110267639
Lecture - Decision Trees.ipynb,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance; machine learning; data analytics; artificial intelligence,4,Artificial intelligence application in product development,0.8189520835876465,0.8314303159713745,0.8002346754074097
Lecture - Decision Trees.ipynb,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance,DecisionTreeRegressor;tree depth and underfitting;VotingRegressor;bootstrap bagging;Random Forest feature subsampling;gradient boosting;out-of-bag scoring;forest feature importance; machine learning; data analytics; artificial intelligence,5,Database modelling,0.8176796436309814,0.8313313126564026,0.7972019910812378
Lecture - Pandas Basics.ipynb,Series and DataFrame;shape head tail info describe;loc and iloc;boolean filtering;value_counts and groupby;missing-data checks and imputation;read_csv and to_csv,Series and DataFrame;shape head tail info describe;loc and iloc;boolean filtering;value_counts and groupby;missing-data checks and imputation;read_csv and to_csv; data processing; data preparation; data analytics,1,Data collection and analysis,0.842269778251648,0.859931468963623,0.8157771229743958
Lecture - Pandas Basics.ipynb,Series and DataFrame;shape head tail info describe;loc and iloc;boolean filtering;value_counts and groupby;missing-data checks and imputation;read_csv and to_csv,Series and DataFrame;shape head tail info describe;loc and iloc;boolean filtering;value_counts and groupby;missing-data checks and imputation;read_csv and to_csv; data processing; data preparation; data analytics,2,Data processing,0.8403695821762085,0.8576833009719849,0.8143988847732544
